PlayerId,Name,rotoName,
3417,,Jerryd Bayless,
3232,,Jason Smith,
2579321,,James Ennis,
3973,,Darren Collison,
4299,,Jeremy Lin,
2327577,,JaMychal Green,
3999,,James Johnson,
1007,,Joe Johnson,
3064511,,Andrew Harrison,
3444,,Kosta Koufos,
272,,Manu Ginobili,
3995,,Jrue Holiday,
2769,,Amir Johnson,
3102530,,Jusuf Nurkic,
2758,,Marcin Gortat,
4260,,Greg Monroe,
2594922,,Otto Porter,
996,,Pau Gasol,
4066297,,Josh Jackson,
4237,,John Wall,
4258,,DeMarcus Cousins,
609,,Dirk Nowitzki,
2959753,,Joffrey Lauvergne,
3187,,Arron Afflalo,
3242,,Brandan Wright,
3138156,,Justin Jackson,
6591,,Moe Harkless,
6452,,Jon Leuer,
3974,,Dante Cunningham,
2489785,,Ian Clark,
4270,,Trevor Booker,
3983,,Tyreke Evans,
4298,,Timofey Mozgov,
4385,,Mirza Teletovic,
4017839,,Juan Hernangomez,
2382,,Devin Harris,
2367,,Tony Allen,
3934663,,Malachi Richardson,
4003,,Jodie Meeks,
2282205,,Malcolm Delaney,
6543,,Julyan Stone,
3136194,,Tyler Ulis,
2389,,Al Jefferson,
2488911,,Brandon Paul,
3059273,,Demetrius Jackson,
2488689,,Sean Kilpatrick,
4243,,Jordan Crawford,
2333797,,Jeff Withey,
6576,,Quincy Acy,
4017844,,Guerschon Yabusele,
2993875,,Shabazz Muhammad,
165,,Jamal Crawford,
6610,,Darius Miller,
841,,Jason Terry,
3064520,,Jordan Mickey,
2596158,,Shane Larkin,
4261,,Ekpe Udoh,
3915560,,Tyler Dorsey,
3418,,Michael Beasley,
2991184,,Sam Dekker,
2531047,,Jerian Grant,
3231,,Ramon Sessions,
2530596,,Andre Roberson,
2284101,,Justin Holiday,
2580365,,Larry Nance,
4247,,Wesley Johnson,
3059281,,Tyler Ennis,
2326015,,Willie Reed,
3893023,,Paul Zipser,
2753,,Raymond Felton,
2995702,,Alex Abrines,
6485,,Lance Thomas,
2747,,Andrew Bogut,
3113587,,Cristiano Da Silva Felicio,
3064516,,Dakari Johnson,
4192,,Milos Teodosic,
3191,,Corey Brewer,
2429,,Luol Deng,
2999409,,Guillermo Hernangomez,
4253,,Quincy Pondexter,
3062892,,Kay Felder,
2580349,,Ron Baker,
2531364,,Josh Huestis,
3032980,,Lucas Nogueira,
1017,,Zach Randolph,
2531352,,Eric Moreland,
3936099,,Derrick Jones,
2506,,Damien Wilkins,
4250,,Luke Babbitt,
3137733,,Rashad Vaughn,
4017846,,Georgios Papagiannis,
6454,,Shelvin Mack,
3064517,,Jarell Martin,
6433,,Kenneth Faried,
3937101,,Deyonta Davis,
3413,,Darrell Arthur,
2968458,,Salah Mejri,
2768,,Jarrett Jack,
2528096,,Mike James,
6469,,Kyle Singler,
3137694,,Gian Clavell,
6453,,DeAndre Liggins,
2439,,Jameer Nelson,
3064539,,Sindarius Thornwell,
2528393,,Tarik Black,
2581084,,Johnny O'Bryant,
3892894,,Zhou Qi,
2968361,,Raulzinho Neto,
3059336,,Isaiah Taylor,
3472,,Bobby Brown,
2411,,Josh Smith,
6631,,Tyler Zeller,
2991042,,Nik Stauskas,
2528473,,Okaro White,
3460,,Marreese Speights,
2528386,,Joseph Young,
6462,,Marcus Morris,
3998,,Jonas Jerebko,
6461,,Markieff Morris,
3064230,,Cameron Payne,
4267,,Cole Aldrich,
3410,,Alexis Ajinca,
3907386,,Antonio Blakeney,
3059306,,Johnathan Motley,
3057304,,Vince Hunter,
3192,,Aaron Brooks,
3912854,,Jawun Evans,
2488977,,Jamil Wilson,
2531362,,Anthony Brown,
2982261,,Marcus Georges-Hunt,
3059310,,Monte Morris,
4066335,,Kobi Simmons,
2325499,,C.J. Williams,
2184,,Udonis Haslem,
2995079,,Jake Wiley,
3929314,,Nicolas Brussino,
6616,,Miles Plumlee,
2991295,,Matt Williams,
3062897,,Alec Peters,
4241228,,Yakuba Ouattara,
2991283,,Alex Poythress,
2488999,,C.J. Wilcox,
3059316,,Wayne Selden,
3138120,,Mindaugas Kuzminskas,
3059272,,V.J. Beachem,
4066424,,Ike Anigbogu,
3934662,,Tyler Lydon,
3147351,,Daniel Hamilton,
1978,,Nick Collison,
3153165,,Chris McCullough,
3137798,,Devin Robinson,
2594885,,Sheldon McClellan,
2579476,,Jalen Jones,
3147366,,Chinanu Onuaku,
2528787,,Lorenzo Brown,
3136477,,Isaiah Whitehead,
2578259,,Darrun Hilliard,
2528646,,Eric Griffin,
2982330,,Brice Johnson,
2531039,,Vander Blue,
2982349,,Tyler Cavanaugh,
3074797,,Wesley Iwundu,
3224,,Joakim Noah,
2531185,,Carrick Felix,
2991178,,A.J. Hammons,
6503,,Dwight Buycks,
3059262,,Davon Reed,
3064308,,Jabari Bird,
3414,,Omer Asik,
1006,,Richard Jefferson,
2282117,,John Holland,
3059286,,London Perrantes,
2991054,,Mangok Mathiang,
2982329,,Marcus Paige,
6459,,Nikola Mirotic,
2999546,,Matt Costello,
2983551,,Joel Bolomboy,
2595229,,Briante Weber,
3074765,,Isaiah Hicks,
1015,,Tony Parker,
3134903,,Gary Payton,
3917378,,Ivan Rabb,
2594818,,James McAdoo,
2491079,,Nate Wolters,
3220,,Josh McRoberts,
3059279,,Michael Young,
3059276,,Jamel Artis,
2531100,,Adreian Payne,
2991039,,Glenn Robinson,
2282622,,Jacob Pullen,
2988387,,Charles Cooke,
2579326,,Alan Williams,
1713,,Nene,
3064237,,Antonius Cleveland,
2490589,,Isaiah Canaan,
2991155,,Danuel House,
2761,,Gerald Green,
2992564,,Milton Doyle,
2528327,,Kyle Collinsworth,
2579251,,Myke Henry,
2566748,,Marshall Plumlee,
3064509,,James Young,
