"","avg","prob_0","prob_1","prob_2","prob_3","prob_4","prob_5","prob_6","prob_7","prob_8","prob_9","prob_10","prob_11","prob_12","prob_13","prob_14","prob_15","prob_16","prob_17","prob_18","prob_19","prob_20","prob_21","prob_22","prob_23","prob_24","prob_25","prob_26","prob_27","prob_28","prob_29","prob_30","prob_31","prob_32","prob_33","prob_34","prob_35","prob_36","prob_37","prob_38","prob_39","prob_40","prob_41","prob_42","prob_43","prob_44","prob_45","prob_46","prob_47","prob_48","prob_49","prob_50"
"216",21.9,0,2.49993750156246e-05,0,2.49993750156246e-05,2.49993750156246e-05,0.000199995000124997,0.000349991250218745,0.000824979375515612,0.000949976250593735,0.00214994625134372,0.00387490312742181,0.00647483812904677,0.0098497537561561,0.0154996125096873,0.0230244243893903,0.029899252518687,0.0385990350241244,0.0500487487812805,0.0594985125371866,0.0696482587935302,0.0775480612984675,0.0797980050498737,0.0821479463013425,0.0804979875503112,0.0746981325466863,0.0670983225419365,0.0588985275368116,0.0469738256543586,0.0363740906477338,0.0279243018924527,0.0194495137621559,0.0142746431339217,0.00854978625534362,0.00597485062873428,0.00332491687707807,0.00259993500162496,0.00127496812579686,0.00097497562560936,0.00032499187520312,0.000199995000124997,7.49981250468738e-05,2.49993750156246e-05,2.49993750156246e-05,0,0,0,0,0,0,0,0
"217",22,0,0,2.49993750156246e-05,2.49993750156246e-05,7.49981250468738e-05,0.000224994375140621,0.000549986250343741,0.000849978750531237,0.00102497437564061,0.00217494562635934,0.00349991250218745,0.00717482062948426,0.0104247393815155,0.013849653758656,0.0212244693882653,0.0289492762680933,0.0366740831479213,0.0489737756556086,0.0593985150371241,0.0708732281692958,0.0762980925476863,0.0800979975500613,0.08124796880078,0.0798980025499362,0.0754481137971551,0.0674983125421864,0.057673558161046,0.0495987600309992,0.0384740381490463,0.0282492937676558,0.0210994725131872,0.0147746306342341,0.00889977750556236,0.00589985250368741,0.00407489812754681,0.00224994375140621,0.00127496812579686,0.000474988125296868,0.000474988125296868,0.000224994375140621,4.99987500312492e-05,0,0,2.49993750156246e-05,0,0,0,0,0,0,0
"218",22.1,0,0,0,4.99987500312492e-05,0,0.000149996250093748,0.00032499187520312,0.000874978125546861,0.00147496312592185,0.00197495062623434,0.00347491312717182,0.00542486437839054,0.00919977000574986,0.0143746406339842,0.0210494737631559,0.0284242893927652,0.0369490762730932,0.0472238194045149,0.0558486037849054,0.0677733056673583,0.0757231069223269,0.0813729656758581,0.0798980025499362,0.0825229369265768,0.0757981050473738,0.0693482662933427,0.0583735406614835,0.0485237869053274,0.0390990225244369,0.0295742606434839,0.0218994525136872,0.0155496112597185,0.00969975750606235,0.00717482062948426,0.0046748831279218,0.0029499262518437,0.00157496062598435,0.000749981250468738,0.00032499187520312,0.00032499187520312,0.000124996875078123,7.49981250468738e-05,2.49993750156246e-05,0,0,0,2.49993750156246e-05,0,0,0,0
"219",22.2,0,0,0,2.49993750156246e-05,2.49993750156246e-05,0.000124996875078123,0.000199995000124997,0.000399990000249994,0.000999975000624984,0.00179995500112497,0.00339991500212495,0.00529986750331242,0.0093497662558436,0.0133996650083748,0.0192995175120622,0.0272993175170621,0.0358241043973901,0.0464488387790305,0.056073598160046,0.0662233444163896,0.0742481437964051,0.0816229594260143,0.0802729931751706,0.0813979650508737,0.0766730831729207,0.0710232244193895,0.0618734531636709,0.0496487587810305,0.0409239769005775,0.0286242843928902,0.0232244193895153,0.0169745756356091,0.010724731881703,0.00707482312942176,0.00404989875253119,0.00254993625159371,0.0014249643758906,0.000824979375515612,0.000399990000249994,9.99975000624984e-05,9.99975000624984e-05,4.99987500312492e-05,0,0,0,0,0,0,0,0,0
"220",22.3,0,0,0,4.99987500312492e-05,0.000149996250093748,4.99987500312492e-05,0.000149996250093748,0.000499987500312492,0.000799980000499987,0.00217494562635934,0.00339991500212495,0.00547486312842179,0.00862478438039049,0.0132746681332967,0.0199495012624684,0.0250243743906402,0.0380490487737807,0.0457238569035774,0.0553486162845929,0.0644233894152646,0.0711982200444989,0.0780730481737957,0.08244793880153,0.0800229994250144,0.0778980525486863,0.0731481712957176,0.0606734831629209,0.0529486762830929,0.0407989800254994,0.0313492162695933,0.0231494212644684,0.0166995825104372,0.0106997325066873,0.00719982000449989,0.00464988375290618,0.00262493437664058,0.0016249593760156,0.000899977500562486,0.000174995625109372,0.000424989375265618,2.49993750156246e-05,4.99987500312492e-05,0,2.49993750156246e-05,0,0,2.49993750156246e-05,0,0,0,0
"221",22.4,0,0,2.49993750156246e-05,0,2.49993750156246e-05,0.000124996875078123,0.000274993125171871,0.000599985000374991,0.000824979375515612,0.0018249543761406,0.0029499262518437,0.00484987875303117,0.00869978250543736,0.0122996925076873,0.0180245493862653,0.0258993525161871,0.0350741231469213,0.0447988800279993,0.0576235594110147,0.0657733556661083,0.0719732006699833,0.0781230469238269,0.0826229344266393,0.0813479663008425,0.0776980575485613,0.0695482612934677,0.0626734331641709,0.0524236894077648,0.0418489537761556,0.0309742256443589,0.0241993950151246,0.0166745831354216,0.0118747031324217,0.00709982250443739,0.00532486687832804,0.00242493937651559,0.00149996250093748,0.000949976250593735,0.000499987500312492,0.000274993125171871,0.000149996250093748,4.99987500312492e-05,0,2.49993750156246e-05,0,0,2.49993750156246e-05,0,0,0,0
"222",22.5,0,0,0,2.49993750156246e-05,2.49993750156246e-05,0.000124996875078123,0.000274993125171871,0.000449988750281243,0.000999975000624984,0.00189995250118747,0.00292492687682808,0.0049748756281093,0.00784980375490613,0.0133496662583435,0.0178995525111872,0.0252993675158121,0.0347741306467338,0.0435989100272493,0.0520236994075148,0.0632984175395615,0.070723231919202,0.07884802879928,0.0809229769255769,0.0772730681732957,0.0787480312992175,0.0758981025474363,0.063598410039749,0.0537986550336242,0.0423239419014525,0.0327991800204995,0.0251243718907027,0.0185745356366091,0.0116997075073123,0.00807479813004675,0.00484987875303117,0.00292492687682808,0.0015249618759531,0.00129996750081248,0.000674983125421865,0.000199995000124997,0.000174995625109372,7.49981250468738e-05,4.99987500312492e-05,0,0,2.49993750156246e-05,0,0,0,0,0
"223",22.6,0,0,2.49993750156246e-05,2.49993750156246e-05,4.99987500312492e-05,0.000124996875078123,0.000174995625109372,0.000349991250218745,0.000699982500437489,0.00204994875128122,0.00257493562660933,0.0046748831279218,0.00787480312992175,0.0112747181320467,0.0172995675108122,0.0247243818904527,0.0309492262693433,0.0413989650258744,0.0508737281567961,0.0628734281642959,0.0712982175445614,0.0761980950476238,0.0779230519237019,0.0801729956751081,0.0777730556736082,0.0707732306692333,0.0652983675408115,0.0560485987850304,0.0445738856528587,0.0378490537736557,0.0282992925176871,0.0187745306367341,0.0132996675083123,0.00952476188095298,0.00592485187870303,0.00382490437739057,0.00232494187645309,0.00104997375065623,0.000499987500312492,0.000224994375140621,0.000224994375140621,2.49993750156246e-05,2.49993750156246e-05,2.49993750156246e-05,0,2.49993750156246e-05,0,0,0,0,0
"224",22.7,0,0,0,5e-05,1e-04,1e-04,0.00045,0.00065,0.000875,0.001675,0.0027,0.004425,0.007175,0.01265,0.01755,0.0238,0.032275,0.04105,0.05035,0.0612,0.070825,0.07375,0.079625,0.08345,0.0767,0.073375,0.06615,0.05425,0.046775,0.036375,0.025925,0.0195,0.014325,0.00835,0.00625,0.003375,0.00195,0.000975,0.000525,0.00025,2e-04,0,0,2.5e-05,0,0,0,0,0,0,0
"225",22.8,0,0,0,2.49993750156246e-05,2.49993750156246e-05,0.000149996250093748,0.00032499187520312,0.000374990625234369,0.000699982500437489,0.00144996375090623,0.00292492687682808,0.00489987750306242,0.00797480062998425,0.0117747056323592,0.0171245718857029,0.0220744481387965,0.0290742731431714,0.0407739806504837,0.0513987150321242,0.0624234394140146,0.0691982700432489,0.0742731431714207,0.0812979675508112,0.0802229944251394,0.0794980125496863,0.0737731556711082,0.0649233769155771,0.0553736156596085,0.0435989100272493,0.0381240468988275,0.0266993325166871,0.0204744881377966,0.0144746381340466,0.00949976250593735,0.00662483437914052,0.00414989625259368,0.00184995375115622,0.00097497562560936,0.000799980000499987,0.000474988125296868,9.99975000624984e-05,2.49993750156246e-05,4.99987500312492e-05,2.49993750156246e-05,0,0,0,0,0,0,0
"226",22.9,0,0,0,2.49993750156246e-05,7.49981250468738e-05,0.000124996875078123,0.000199995000124997,0.000449988750281243,0.000674983125421865,0.0017249568760781,0.00287492812679683,0.0045748856278593,0.00742481437964051,0.010924726881828,0.0159996000099998,0.0219494512637184,0.0299492512687183,0.0383740406489838,0.0474488137796555,0.0603484912877178,0.0682732931676708,0.0745981350466238,0.0806979825504362,0.0792980175495613,0.0784980375490613,0.0733731656708582,0.0685732856678583,0.0569985750356241,0.0478738031549211,0.038024049398765,0.0278743031424214,0.0214494637634059,0.0150996225094373,0.00992475188120297,0.00632484187895303,0.00442488937776556,0.00264993375165621,0.00119997000074998,0.000949976250593735,0.000449988750281243,0.000174995625109372,2.49993750156246e-05,7.49981250468738e-05,2.49993750156246e-05,0,0,0,0,0,0,0
"227",23,0,0,0,2.49993750156246e-05,4.99987500312492e-05,7.49981250468738e-05,0.000349991250218745,0.000524986875328117,0.000749981250468738,0.00159996000099997,0.00257493562660933,0.00452488687782805,0.00654983625409365,0.00969975750606235,0.0145746356341091,0.0220994475138122,0.0294242643933902,0.03822404439889,0.0491237719057024,0.057273568160796,0.0676233094172646,0.0764480887977801,0.0802979925501862,0.0808229794255144,0.0804729881752956,0.0725731856703582,0.0651733706657334,0.0588985275368116,0.0482487937801555,0.0379740506487338,0.0277493062673433,0.022174445638859,0.015249618759531,0.0116997075073123,0.00694982625434364,0.00427489312767181,0.00239994000149996,0.0017249568760781,0.000849978750531237,0.000499987500312492,0.000199995000124997,9.99975000624984e-05,7.49981250468738e-05,4.99987500312492e-05,0,0,2.49993750156246e-05,0,0,0,0
"228",23.1,0,0,2.49993750156246e-05,7.49981250468738e-05,4.99987500312492e-05,7.49981250468738e-05,0.000149996250093748,0.000349991250218745,0.00102497437564061,0.00127496812579686,0.00234994125146871,0.00354991125221869,0.00584985375365616,0.00957476063098422,0.0151746206344841,0.0214744631384215,0.0280242993925152,0.037224069398265,0.0476238094047649,0.0555486112847179,0.0686982825429364,0.0748731281717957,0.0767730806729832,0.0813729656758581,0.0793980150496238,0.0747481312967176,0.0688482787930302,0.0605984850378741,0.0500737481562961,0.0403489912752181,0.029099272518187,0.020974475638109,0.0167745806354841,0.011124721881953,0.00682482937926552,0.00447488812779681,0.00277493062673433,0.00139996500087498,0.000624984375390615,0.000399990000249994,0.000174995625109372,0.000149996250093748,4.99987500312492e-05,0,0,0,0,0,0,0,0
